Profielnaam;X_Maaiveld binnenwaarts;Y_Maaiveld binnenwaarts;Z_Maaiveld binnenwaarts;X_Insteek sloot polderzijde;Y_Insteek sloot polderzijde;Z_Insteek sloot polderzijde;X_Slootbodem polderzijde;Y_Slootbodem polderzijde;Z_Slootbodem polderzijde;X_Slootbodem dijkzijde;Y_Slootbodem dijkzijde;Z_Slootbodem dijkzijde;X_Insteek sloot dijkzijde;Y_Insteek_sloot dijkzijde;Z_Insteek sloot dijkzijde;X_Teen dijk binnenwaarts;Y_Teen dijk binnenwaarts;Z_Teen dijk binnenwaarts;X_Kruin binnenberm;Y_Kruin binnenberm;Z_Kruin binnenberm;X_Insteek binnenberm;Y_Insteek binnenberm;Z_Insteek binnenberm;X_Kruin binnentalud;Y_Kruin binnentalud;Z_Kruin binnentalud;X_Verkeersbelasting kant binnenwaarts;Y_Verkeersbelasting kant binnenwaarts;Z_Verkeersbelasting kant binnenwaarts;X_Verkeersbelasting kant buitenwaarts;Y_Verkeersbelasting kant buitenwaarts;Z_Verkeersbelasting kant buitenwaarts;X_Kruin buitentalud;Y_Kruin buitentalud;Z_Kruin buitentalud;X_Insteek buitenberm;Y_Insteek buitenberm;Z_Insteek buitenberm;X_Kruin buitenberm;Y_Kruin buitenberm;Z_Kruin buitenberm;X_Teen dijk buitenwaarts;Y_Teen dijk buitenwaarts;Z_Teen dijk buitenwaarts;X_Insteek geul;Y_Insteek geul;Z_Insteek geul;X_Teen geul;Y_Teen geul;Z_Teen geul;X_Maaiveld buitenwaarts;Y_Maaiveld buitenwaarts;Z_Maaiveld buitenwaarts
002_042_00001;28.5;0;-1.658;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;15;0;-1.416;-1;-1;-1;-1;-1;-1;11.5;0;-0.066;11.5;0;-0.066;9;0;-0.044;8.5;0;-0.221;-1;-1;-1;-1;-1;-1;6.781;0;-1.124;-1;-1;-1;-1;-1;-1;0;0;-1.8
002_042_00003;21.5;0;-2.45;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;16.5;0;-1.96;15.5;0;-1.72;14;0;-1.6;10.5;0;-0.58;9.5;0;-0.51;7;0;-0.4;5;0;-0.34;4.65;0;-1.129;3.44;0;-1.429;2.44;0;-1.617;-1;-1;-1;-1;-1;-1;0;0;-1.8
002_042_00004;26;0;-2.45;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;15.493;0;-2.45;-1;-1;-1;-1;-1;-1;13.5;0;-0.407;13;0;-0.21;10.5;0;-0.272;10;0;-0.466;-1;-1;-1;-1;-1;-1;7.725;0;-1.277;-1;-1;-1;-1;-1;-1;0;0;-1.277
002_042_00005;28;0;-2.45;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;22.701;0;-2.45;-1;-1;-1;-1;-1;-1;20.5;0;0.168;19;0;0.287;16.5;0;0.311;10.5;0;-0.129;-1;-1;-1;-1;-1;-1;9.237;0;-2.442;-1;-1;-1;-1;-1;-1;0;0;-4.2
002_042_00006;25;0;-0.55;16.167;0;-1.45;15.324;0;-2.2;14.324;0;-2.2;13.489;0;-1.45;13;0;-0.814;-1;-1;-1;-1;-1;-1;11.5;0;-0.156;10;0;-0.002;7.5;0;0.028;3.5;0;-0.336;-1;-1;-1;-1;-1;-1;2.436;0;-1.8;-1;-1;-1;-1;-1;-1;0;0;-1.8
002_042_00007;28;0;-2.45;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;22.701;0;-2.45;-1;-1;-1;-1;-1;-1;20.5;0;0.168;18.5;0;0.256;16;0;0.307;10;0;-0.129;-1;-1;-1;-1;-1;-1;9.237;0;-2.442;-1;-1;-1;-1;-1;-1;0;0;-4.2
002_042_00011;23;0;-1.278;15.5;0;-2.037;14.5;0;-2.45;12.5;0;-2.45;11;0;-1.493;11;0;-1.493;-1;-1;-1;-1;-1;-1;8;0;-0.171;6;0;-0.174;3.5;0;-0.334;3.5;0;-0.334;-1;-1;-1;-1;-1;-1;2.434;0;-1.8;-1;-1;-1;-1;-1;-1;0;0;-1.8
002_042_00012;28;0;-2.45;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;22.701;0;-2.45;-1;-1;-1;-1;-1;-1;20.5;0;0.168;19.5;0;0.279;17;0;0.325;10.5;0;-0.129;-1;-1;-1;-1;-1;-1;9.237;0;-2.442;-1;-1;-1;-1;-1;-1;0;0;-4.2
002_042_00018;15;0;-2.55;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;11.6;0;-2.55;10;0;-1.449;7.5;0;-0.8;5.5;0;-0.099;5.5;0;-0.099;3;0;-0.168;2.5;0;-0.218;-1;-1;-1;-1;-1;-1;1.155;0;-1.8;-1;-1;-1;-1;-1;-1;0;0;-1.8
002_042_00023;30;0;-2.35;26.522;0;-2.35;26.522;0;-2.35;26.522;0;-2.35;25.5;0;-1.09;25.5;0;-1.09;-1;-1;-1;-1;-1;-1;23.5;0;0.225;22;0;0.245;19.5;0;0.275;13;0;0.023;-1;-1;-1;-1;-1;-1;11.338;0;-2.087;-1;-1;-1;-1;-1;-1;0;0;-4.2
