Profielnaam;X_Maaiveld binnenwaarts;Y_Maaiveld binnenwaarts;Z_Maaiveld binnenwaarts;X_Insteek sloot polderzijde;Y_Insteek sloot polderzijde;Z_Insteek sloot polderzijde;X_Slootbodem polderzijde;Y_Slootbodem polderzijde;Z_Slootbodem polderzijde;X_Slootbodem dijkzijde;Y_Slootbodem dijkzijde;Z_Slootbodem dijkzijde;X_Insteek sloot dijkzijde;Y_Insteek_sloot dijkzijde;Z_Insteek sloot dijkzijde;X_Teen dijk binnenwaarts;Y_Teen dijk binnenwaarts;Z_Teen dijk binnenwaarts;X_Kruin binnenberm;Y_Kruin binnenberm;Z_Kruin binnenberm;X_Insteek binnenberm;Y_Insteek binnenberm;Z_Insteek binnenberm;X_Kruin binnentalud;Y_Kruin binnentalud;Z_Kruin binnentalud;X_Verkeersbelasting kant binnenwaarts;Y_Verkeersbelasting kant binnenwaarts;Z_Verkeersbelasting kant binnenwaarts;X_Verkeersbelasting kant buitenwaarts;Y_Verkeersbelasting kant buitenwaarts;Z_Verkeersbelasting kant buitenwaarts;X_Kruin buitentalud;Y_Kruin buitentalud;Z_Kruin buitentalud;X_Insteek buitenberm;Y_Insteek buitenberm;Z_Insteek buitenberm;X_Kruin buitenberm;Y_Kruin buitenberm;Z_Kruin buitenberm;X_Teen dijk buitenwaarts;Y_Teen dijk buitenwaarts;Z_Teen dijk buitenwaarts;X_Insteek geul;Y_Insteek geul;Z_Insteek geul;X_Teen geul;Y_Teen geul;Z_Teen geul;X_Maaiveld buitenwaarts;Y_Maaiveld buitenwaarts;Z_Maaiveld buitenwaarts;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
020_042_00001;54.86;0;-1.49;43.86;0;-2.08;42.66;0;-3.28;26.5;0;-3.28;24.86;0;-1.64;21.36;0;-1.61;-1;-1;-1;-1;-1;-1;14.36;0;-0.29;13.86;0;-0.23;11.36;0;-0.25;11.36;0;-0.25;-1;-1;-1;-1;-1;-1;6.533;0;-2.75;-1;-1;-1;-1;-1;-1;0;0;-1.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
020_042_00015;47.7;0;-2.24;47.19;0;-2.75;46.66;0;-3.28;40.81;0;-3.28;40.28;0;-2.75;39.7;0;-2.17;24.2;0;-0.73;21.7;0;-0.83;19.2;0;-0.1;17.7;0;-0.18;15.2;0;-0.16;15.2;0;-0.16;-1;-1;-1;-1;-1;-1;14.5;0;-0.92;-1;-1;-1;-1;-1;-1;0;0;-1.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
020_042_00016;54.86;0;-1.49;43.86;0;-2.08;42.66;0;-3.28;26.5;0;-3.28;24.86;0;-1.64;21.36;0;-1.61;-1;-1;-1;-1;-1;-1;14.36;0;-0.29;13.86;0;-0.23;11.36;0;-0.25;11.36;0;-0.25;-1;-1;-1;-1;-1;-1;6.533;0;-2.75;-1;-1;-1;-1;-1;-1;0;0;-1.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
020_042_00017;30;0;-3.05;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;14.5;0;-1.37;-1;-1;-1;-1;-1;-1;11;0;-0.31;10.5;0;-0.24;8;0;-0.81;9.5;0;-0.27;-1;-1;-1;-1;-1;-1;6.67;0;-1.7;-1;-1;-1;-1;-1;-1;0;0;-1.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
020_042_00018;85.5;0;-2.334;29;0;-2.29;28.01;0;-3.28;22.19;0;-3.28;21;0;-2.09;20;0;-1.58;19;0;-1.35;12.5;0;-0.99;11;0;-0.27;10.5;0;-0.27;8;0;-0.79;9.5;0;-0.19;8.5;0;-0.76;7.5;0;-0.85;6.22;0;-1.7;-1;-1;-1;-1;-1;-1;0;0;-1.7;85.5;0;-2.334;29;0;-2.29;28.01;0;-3.28;22.19;0;-3.28;21;0;-2.09;19.5;0;-1.36;-1;-1;-1;-1;-1;-1;11;0;-0.27;10.5;0;-0.27;8;0;-0.79;9.5;0;-0.19;8.5;0;-0.76;7.5;0;-0.85;6.22;0;-1.7;-1;-1;-1;-1;-1;-1;0;0;-1.7
023_042_00005;52.343;0;-3.024;41.843;0;-3.117;39.144;0;-4.85;38.061;0;-4.85;36.843;0;-3.632;34.843;0;-3.452;-1;-1;-1;-1;-1;-1;18.843;0;-0.158;18.843;0;-0.158;16.343;0;-0.569;17.343;0;-0.151;-1;-1;-1;-1;-1;-1;10.534;0;-1.8;-1;-1;-1;-1;-1;-1;0;0;-1.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
023_042_00015;64.843;0;-3.49;48.843;0;-3.625;47.232;0;-4.95;46.304;0;-4.95;44.002;0;-3.6;24.843;0;-2.578;-1;-1;-1;-1;-1;-1;15.843;0;-0.284;14.843;0;-0.189;12.343;0;-0.204;10.843;0;-0.268;-1;-1;-1;-1;-1;-1;6.633;0;-2.3;-1;-1;-1;-1;-1;-1;0;0;-1.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
023_042_00016;63.575;0;-3.534;55.477;0;-4;54.627;0;-4.85;53.539;0;-4.85;52.575;0;-3.886;35.075;0;-3.135;-1;-1;-1;-1;-1;-1;22.075;0;-0.327;19.575;0;-0.21;17.075;0;-0.278;17.075;0;-0.278;16.075;0;-0.561;15.075;0;-0.564;13.822;0;-1;-1;-1;-1;-1;-1;-1;0;0;-1;63.575;0;-3.534;56.075;0;-3.715;54.627;0;-4.85;53.539;0;-4.85;52.575;0;-3.886;35.075;0;-3.135;-1;-1;-1;-1;-1;-1;22.075;0;-0.327;21.575;0;-0.365;19.075;0;-0.196;17.575;0;-0.223;-1;-1;-1;-1;-1;-1;11.425;0;-1.8;-1;-1;-1;-1;-1;-1;0;0;-1
023_042_00017;101.764;0;-3.398;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;34.764;0;-2.492;-1;-1;-1;-1;-1;-1;21.264;0;-0.108;19.764;0;-0.119;17.264;0;-0.114;17.264;0;-0.114;-1;-1;-1;-1;-1;-1;9.762;0;-2.907;-1;-1;-1;-1;-1;-1;0;0;-1.2;101.764;0;-3.398;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;35.264;0;-2.557;-1;-1;-1;-1;-1;-1;21.764;0;-0.206;20.264;0;-0.133;17.764;0;-0.044;17.264;0;-0.114;-1;-1;-1;-1;-1;-1;9.762;0;-2.907;-1;-1;-1;-1;-1;-1;0;0;-2.868
023_042_00018;28.815;0;-1.086;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;20.315;0;-0.668;-1;-1;-1;-1;-1;-1;15.315;0;-0.114;14.815;0;-0.112;12.315;0;-0.762;14.315;0;-0.073;13.315;0;-0.433;12.815;0;-0.472;11.373;0;-1.258;-1;-1;-1;-1;-1;-1;0;0;-1.2;28.815;0;-1.086;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;17.315;0;-0.632;-1;-1;-1;-1;-1;-1;15.315;0;-0.114;14.815;0;-0.112;12.315;0;-0.762;14.315;0;-0.073;-1;-1;-1;-1;-1;-1;7.406;0;-2.191;-1;-1;-1;-1;-1;-1;0;0;-0.6
