Profielnaam;X_Maaiveld binnenwaarts;Y_Maaiveld binnenwaarts;Z_Maaiveld binnenwaarts;X_Insteek sloot polderzijde;Y_Insteek sloot polderzijde;Z_Insteek sloot polderzijde;X_Slootbodem polderzijde;Y_Slootbodem polderzijde;Z_Slootbodem polderzijde;X_Slootbodem dijkzijde;Y_Slootbodem dijkzijde;Z_Slootbodem dijkzijde;X_Insteek sloot dijkzijde;Y_Insteek_sloot dijkzijde;Z_Insteek sloot dijkzijde;X_Teen dijk binnenwaarts;Y_Teen dijk binnenwaarts;Z_Teen dijk binnenwaarts;X_Kruin binnenberm;Y_Kruin binnenberm;Z_Kruin binnenberm;X_Insteek binnenberm;Y_Insteek binnenberm;Z_Insteek binnenberm;X_Kruin binnentalud;Y_Kruin binnentalud;Z_Kruin binnentalud;X_Verkeersbelasting kant binnenwaarts;Y_Verkeersbelasting kant binnenwaarts;Z_Verkeersbelasting kant binnenwaarts;X_Verkeersbelasting kant buitenwaarts;Y_Verkeersbelasting kant buitenwaarts;Z_Verkeersbelasting kant buitenwaarts;X_Kruin buitentalud;Y_Kruin buitentalud;Z_Kruin buitentalud;X_Insteek buitenberm;Y_Insteek buitenberm;Z_Insteek buitenberm;X_Kruin buitenberm;Y_Kruin buitenberm;Z_Kruin buitenberm;X_Teen dijk buitenwaarts;Y_Teen dijk buitenwaarts;Z_Teen dijk buitenwaarts;X_Insteek geul;Y_Insteek geul;Z_Insteek geul;X_Teen geul;Y_Teen geul;Z_Teen geul;X_Maaiveld buitenwaarts;Y_Maaiveld buitenwaarts;Z_Maaiveld buitenwaarts;;;;
011_042_00009;60;0;-1.9;43.276;0;-1.9;42.403;0;-3.004;37.761;0;-3;36.64;0;-2.134;36.64;0;-2.134;-1;-1;-1;-1;-1;-1;32.64;0;0.17;32.64;0;0.17;30.14;0;0.236;14.232;0;0.23;-1;-1;-1;-1;-1;-1;4.464;0;-4.42;-1;-1;-1;-1;-1;-1;0;0;-4.477;;;;
011_042_00011;60;0;-2.092;43.774;0;-1.938;42.131;0;-3.615;37.853;0;-3.615;36.6;0;-2.5;35.5;0;-2.16;-1;-1;-1;-1;-1;-1;23.8;0;0.4;23.8;0;0.4;21.3;0;0.397;14.9;0;0.39;-1;-1;-1;-1;-1;-1;6.764;0;-4.42;-1;-1;-1;-1;-1;-1;0;0;-4.477;;;;
011_042_00012;60;0;-2.092;43.774;0;-1.938;42.4;0;-3.5;37.7;0;-3.5;35.5;0;-2.16;32.33;0;-1.78;-1;-1;-1;-1;-1;-1;24.4;0;0.31;23.8;0;0.4;21.3;0;0.397;14.9;0;0.39;-1;-1;-1;-1;-1;-1;8.996;0;-4.5;-1;-1;-1;-1;-1;-1;0;0;-4.7;;;;
011_042_00020;60;0;-3.5;46;0;-3.5;46;0;-3.5;44.158;0;-3.2;44;0;-2.3;37.9;0;-1.6;-1;-1;-1;-1;-1;-1;33.3;0;-0.2;33.3;0;-0.2;30.8;0;-0.092;19;0;-0.2;-1;-1;-1;-1;-1;-1;15.5;0;-3.2;-1;-1;-1;-1;-1;-1;0;0;-4.5;;;;
011_042_00021;60;0;-3.5;46;0;-3.5;46;0;-3.5;44.158;0;-3.2;44;0;-2.3;37.9;0;-1.6;-1;-1;-1;-1;-1;-1;33.3;0;-0.2;33.3;0;-0.2;30.8;0;-0.092;19;0;-0.2;-1;-1;-1;-1;-1;-1;15.5;0;-3.2;-1;-1;-1;-1;-1;-1;0;0;-4.5;;;;
011_042_00022;60;0;-2.2;36.2;0;-2.4;36;0;-2.8;32;0;-2.8;31.758;0;-2.281;31.432;0;-2.06;-1;-1;-1;-1;-1;-1;25.07;0;0.19;25.07;0;0.19;22.57;0;0.26;14.3;0;0.3;-1;-1;-1;-1;-1;-1;6.083;0;-4.123;-1;-1;-1;-1;-1;-1;0;0;-4.481;;;;
011_042_00023;60;0;-2.2;36.2;0;-2.4;36;0;-2.8;32;0;-2.8;31.758;0;-2.281;31.758;0;-2.281;-1;-1;-1;-1;-1;-1;26.86;0;0.03;25.07;0;0.19;22.57;0;0.26;14.3;0;0.3;-1;-1;-1;-1;-1;-1;6.083;0;-4.123;-1;-1;-1;-1;-1;-1;0;0;-4.481;;;;
011_042_00024;60;0;-1.9;43.276;0;-1.9;42.403;0;-3.004;37.761;0;-3;36.64;0;-2.134;36.64;0;-2.134;-1;-1;-1;-1;-1;-1;32.64;0;0.17;32.64;0;0.17;30.14;0;0.236;14.232;0;0.23;-1;-1;-1;-1;-1;-1;4.464;0;-4.42;-1;-1;-1;-1;-1;-1;0;0;-4.477;;;;
015_042_00004;45.851;0;-3.55;45.351;0;-3.55;45.351;0;-3.55;32.851;0;-3.55;32.351;0;-2.35;21.351;0;-1.624;-1;-1;-1;-1;-1;-1;14.851;0;-0.119;14.351;0;-0.118;11.851;0;-0.6;12.351;0;-0.086;-1;-1;-1;-1;-1;-1;8.449;0;-2.253;-1;-1;-1;-1;-1;-1;0;0;-2.253;;;;
015_042_00005;37.549;0;-1.428;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;21.049;0;-1.511;-1;-1;-1;-1;-1;-1;18.049;0;-0.303;17.549;0;-0.226;15.049;0;-0.362;15.049;0;-0.362;-1;-1;-1;-1;-1;-1;10.147;0;-2.253;-1;-1;-1;-1;-1;-1;0;0;-2.253;;;;
015_042_00012;59.167;0;-3.35;48.853;0;-3.35;48.853;0;-3.35;37.667;0;-3.35;36.667;0;-1.833;29.167;0;-1.626;-1;-1;-1;-1;-1;-1;25.167;0;-0.061;24.667;0;0.024;22.167;0;-0.596;23.667;0;0.04;-1;-1;-1;-1;-1;-1;15.917;0;-3.1;-1;-1;-1;-1;-1;-1;0;0;-3.1;;;;
015_042_00013;80.283;0;-1.431;77.783;0;-1.52;75.783;0;-3.35;74.283;0;-3.35;71.783;0;-1.51;35.283;0;-0.995;-1;-1;-1;-1;-1;-1;29.783;0;-0.041;28.783;0;0.067;26.283;0;-0.057;25.783;0;-0.111;-1;-1;-1;-1;-1;-1;17.032;0;-3.3;-1;-1;-1;-1;-1;-1;0;0;-3.3;;;;
015_042_00014;80.283;0;-1.431;77.783;0;-1.52;75.783;0;-3.35;74.283;0;-3.35;72.283;0;-1.593;35.283;0;-0.995;-1;-1;-1;-1;-1;-1;29.783;0;-0.041;29.283;0;0.155;26.783;0;-0.145;25.283;0;-0.111;-1;-1;-1;-1;-1;-1;17.032;0;-3.3;-1;-1;-1;-1;-1;-1;0;0;-3.3;;;;
015_042_00015;57.616;0;-1.785;46.616;0;-2.046;45.616;0;-3.35;41.116;0;-3.35;40.116;0;-2.181;38.116;0;-1.892;-1;-1;-1;-1;-1;-1;27.116;0;0.062;26.616;0;0.086;24.116;0;-0.287;25.116;0;-0.022;-1;-1;-1;-1;-1;-1;15.365;0;-3.3;-1;-1;-1;-1;-1;-1;0;0;-3.3;;;;
015_042_00016;57.616;0;-1.785;46.616;0;-2.046;45.616;0;-3.35;41.116;0;-3.35;40.519;0;-2.317;36.116;0;-1.727;-1;-1;-1;-1;-1;-1;27.116;0;0.062;26.616;0;0.086;24.116;0;-0.287;25.116;0;-0.022;-1;-1;-1;-1;-1;-1;15.365;0;-3.3;-1;-1;-1;-1;-1;-1;0;0;-3.3;;;;
015_042_00017;45.165;0;-1.238;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;18.665;0;-1.545;-1;-1;-1;-1;-1;-1;12.165;0;-0.317;11.665;0;-0.286;9.165;0;-0.6;10.665;0;-0.267;-1;-1;-1;-1;-1;-1;5.565;0;-1.8;-1;-1;-1;-1;-1;-1;0;0;-1.8;;;;
015_042_00018;47.128;0;-1.564;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;18.628;0;-1.3;-1;-1;-1;-1;-1;-1;13.128;0;-0.337;12.889;0;-0.32;10.389;0;-1.068;11.628;0;-0.354;-1;-1;-1;-1;-1;-1;10;0;-1.3;-1;-1;-1;-1;-1;-1;0;0;-1.3;;;;
015_042_00019;26;0;-1.925;14.371;0;-1.899;14.371;0;-1.899;14.371;0;-1.899;14;0;-1.688;12.5;0;-1.666;-1;-1;-1;-1;-1;-1;7;0;0.052;6.5;0;0.096;4;0;-0.6;5.5;0;0.034;-1;-1;-1;-1;-1;-1;1.3;0;-1.8;-1;-1;-1;-1;-1;-1;0;0;-1.8;;;;
015_042_00020;44.439;0;-3.35;33.283;0;-3.35;33.283;0;-3.35;33.283;0;-3.35;30.939;0;-1.371;30.939;0;-1.371;-1;-1;-1;-1;-1;-1;16.439;0;0.033;14.939;0;0.042;12.439;0;0.01;9.439;0;0.1;-1;-1;-1;-1;-1;-1;2.689;0;-2.3;-1;-1;-1;-1;-1;-1;0;0;-2.3;;;;
015_042_00021;44.439;0;-3.35;33.283;0;-3.35;33.283;0;-3.35;33.283;0;-3.35;30.939;0;-1.371;30.939;0;-1.371;-1;-1;-1;-1;-1;-1;16.439;0;0.033;15.439;0;0.023;12.939;0;0.01;9.439;0;0.1;-1;-1;-1;-1;-1;-1;2.689;0;-2.3;-1;-1;-1;-1;-1;-1;0;0;-2.3;;;;
015_042_00022;34.538;0;-3.35;23.467;0;-3.35;23.467;0;-3.35;23.467;0;-3.35;21.538;0;-1.603;18.038;0;-1.406;-1;-1;-1;-1;-1;-1;11.538;0;-0.099;11.538;0;-0.099;9.038;0;-0.6;10.038;0;-0.017;-1;-1;-1;-1;-1;-1;4.788;0;-2.3;-1;-1;-1;-1;-1;-1;0;0;-2.3;;;;
015_042_00023;36.397;0;-3.35;24.397;0;-3.35;24.397;0;-3.35;20.897;0;-3.35;19.397;0;-1.868;16.897;0;-1.651;-1;-1;-1;-1;-1;-1;11.897;0;0.036;11.397;0;0.059;8.897;0;-0.506;9.897;0;-0.037;-1;-1;-1;-1;-1;-1;4.148;0;-2.3;-1;-1;-1;-1;-1;-1;0;0;-2.3;;;;
015_042_00024;49.181;0;-3.35;39.681;0;-3.35;39.681;0;-3.35;39.681;0;-3.35;38.681;0;-2.152;37.681;0;-1.972;-1;-1;-1;-1;-1;-1;30.681;0;0.043;29.681;0;0.074;27.181;0;-0.156;27.181;0;-0.156;-1;-1;-1;-1;-1;-1;18.93;0;-3.1;-1;-1;-1;-1;-1;-1;0;0;-3.1;;;;
015_042_00025;59.167;0;-3.35;48.853;0;-3.35;48.853;0;-3.35;37.667;0;-3.35;36.667;0;-1.833;29.167;0;-1.626;-1;-1;-1;-1;-1;-1;25.167;0;-0.061;24.667;0;0.024;22.167;0;-0.596;23.667;0;0.04;-1;-1;-1;-1;-1;-1;15.917;0;-3.1;-1;-1;-1;-1;-1;-1;0;0;-3.1;;;;
077_042_00006;37.231;0;-2.143;28.647;0;-2.41;27.647;0;-3.41;21.731;0;-3.41;20.503;0;-2.208;20.503;0;-2.208;-1;-1;-1;-1;-1;-1;14.395;0;-0.178;13.417;0;-0.135;10.917;0;-0.101;8.287;0;-0.304;-1;-1;-1;-1;-1;-1;7.83;0;-2.546;-1;-1;-1;-1;-1;-1;0;0;-2.549;;;;
077_042_00011;35;0;-2.248;21.761;0;-1.788;19.761;0;-3.31;15.76;0;-3.31;14.85;0;-2.4;14.76;0;-2.31;-1;-1;-1;-1;-1;-1;11.759;0;-0.475;11.759;0;-0.475;9.259;0;-0.366;9.758;0;-0.306;-1;-1;-1;-1;-1;-1;5.957;0;-1.748;-1;-1;-1;-1;-1;-1;0;0;-1.748;;;;
077_042_00012;50;0;-1.715;33.964;0;-1.764;30.96;0;-3.25;18.929;0;-3.25;17.929;0;-2.26;17.929;0;-2.26;-1;-1;-1;-1;-1;-1;11.915;0;-0.945;11.649;0;-0.929;9.149;0;-0.977;9.911;0;-0.828;-1;-1;-1;-1;-1;-1;6.311;0;-2.38;-1;-1;-1;-1;-1;-1;0;0;-2.38;;;;
