LOCATIONID;X_Maaiveld binnenwaarts;Y_Maaiveld binnenwaarts;Z_Maaiveld binnenwaarts;X_Insteek sloot polderzijde;Y_Insteek sloot polderzijde;Z_Insteek sloot polderzijde;X_Slootbodem polderzijde;Y_Slootbodem polderzijde;Z_Slootbodem polderzijde;X_Slootbodem dijkzijde;Y_Slootbodem dijkzijde;Z_Slootbodem dijkzijde;X_Insteek sloot dijkzijde;Y_Insteek_sloot dijkzijde;Z_Insteek sloot dijkzijde;X_Teen dijk binnenwaarts;Y_Teen dijk binnenwaarts;Z_Teen dijk binnenwaarts;X_Kruin binnenberm;Y_Kruin binnenberm;Z_Kruin binnenberm;X_Insteek binnenberm;Y_Insteek binnenberm;Z_Insteek binnenberm;X_Kruin binnentalud;Y_Kruin binnentalud;Z_Kruin binnentalud;X_Verkeersbelasting kant binnenwaarts;Y_Verkeersbelasting kant binnenwaarts;Z_Verkeersbelasting kant binnenwaarts;X_Verkeersbelasting kant buitenwaarts;Y_Verkeersbelasting kant buitenwaarts;Z_Verkeersbelasting kant buitenwaarts;X_Kruin buitentalud;Y_Kruin buitentalud;Z_Kruin buitentalud;X_Insteek buitenberm;Y_Insteek buitenberm;Z_Insteek buitenberm;X_Kruin buitenberm;Y_Kruin buitenberm;Z_Kruin buitenberm;X_Teen dijk buitenwaarts;Y_Teen dijk buitenwaarts;Z_Teen dijk buitenwaarts;X_Insteek geul;Y_Insteek geul;Z_Insteek geul;X_Teen geul;Y_Teen geul;Z_Teen geul;X_Maaiveld buitenwaarts;Y_Maaiveld buitenwaarts;Z_Maaiveld buitenwaarts
024_042_00002;100;0;-4.311;76.169;0;-3.569;73.4;0;-6.323;71.953;0;-6.358;69.728;0;-2.947;56.26;0;-1.542;-1;-1;-1;-1;-1;-1;50.99;0;0.003;50.99;0;0.003;48.49;0;-0.44;49.819;0;0.043;-1;-1;-1;-1;-1;-1;42.7;0;-2.14;-1;-1;-1;-1;-1;-1;0;0;-2.14
024_042_00005;100;0;-4.51;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;87.502;0;-4.51;-1;-1;-1;-1;-1;-1;50.708;0;-0.07;50.197;0;-0.024;47.697;0;-0.416;48.664;0;-0.066;-1;-1;-1;-1;-1;-1;40.5;0;-2;-1;-1;-1;-1;-1;-1;0;0;-2
024_042_00006;55;0;-4.103;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;51.428;0;-4.08;-1;-1;-1;-1;-1;-1;15.897;0;-0.175;15.251;0;-0.079;12.751;0;-0.557;14.065;0;-0.133;-1;-1;-1;-1;-1;-1;6.751;0;-2.3;-1;-1;-1;-1;-1;-1;0;0;-2.3
024_042_00007;100;0;-4.103;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;85.835;0;-4.076;-1;-1;-1;-1;-1;-1;50.844;0;-0.122;50.844;0;-0.122;48.344;0;-0.357;49.065;0;-0.133;-1;-1;-1;-1;-1;-1;43.943;0;-2.2;-1;-1;-1;-1;-1;-1;0;0;-2.3
024_042_00008;100;0;-4.956;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;55.062;0;-1.405;-1;-1;-1;-1;-1;-1;50.541;0;0.043;50.039;0;0.044;47.539;0;-0.587;49.034;0;-0.003;-1;-1;-1;-1;-1;-1;44.23;0;-1.878;-1;-1;-1;-1;-1;-1;0;0;-1.878
024_042_00009;100;0;-3.885;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;56.193;0;-1.776;-1;-1;-1;-1;-1;-1;50.671;0;0.004;50.169;0;0.05;47.669;0;-0.559;49.165;0;0.036;-1;-1;-1;-1;-1;-1;37.872;0;-2.6;-1;-1;-1;-1;-1;-1;0;0;-2.6
024_042_00010;100;0;-4.369;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;68.845;0;-2.874;-1;-1;-1;-1;-1;-1;50.334;0;0.004;50.334;0;0.004;47.834;0;-0.733;48.833;0;-0.018;-1;-1;-1;-1;-1;-1;46.5;0;-1.37;-1;-1;-1;-1;-1;-1;0;0;-1.37
024_042_00011;100;0;-2.695;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;60.9;0;-2.165;-1;-1;-1;-1;-1;-1;50.897;0;-0.213;49.897;0;-0.222;47.397;0;-0.191;47.896;0;-0.12;-1;-1;-1;-1;-1;-1;43.9;0;-1.63;-1;-1;-1;-1;-1;-1;0;0;-1.63
037_042_00001;65;0;-4.368;56.961;0;-4.368;55.961;0;-5.368;54.961;0;-5.368;53.461;0;-4.1;24.961;0;-1.76;-1;-1;-1;-1;-1;-1;22.461;0;-0.683;21.461;0;-0.565;18.961;0;-0.436;15.461;0;-0.343;-1;-1;-1;-1;-1;-1;5.699;0;-4.2;-1;-1;-1;-1;-1;-1;0;0;-4.2
037_042_00002;73;0;-4.967;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;30.5;0;-1.158;-1;-1;-1;-1;-1;-1;29;0;-0.054;28;0;-0.061;25.5;0;-0.076;23.5;0;-0.007;-1;-1;-1;-1;-1;-1;21.5;0;-0.568;-1;-1;-1;-1;-1;-1;0;0;-0.884
037_042_00005;50;0;-4.064;45.001;0;-4.064;43.38;0;-5.974;43.38;0;-5.974;42.001;0;-4.064;15.485;0;-2.223;-1;-1;-1;-1;-1;-1;9.501;0;-0.462;9.001;0;-0.462;6.501;0;-0.466;7.001;0;-0.243;-1;-1;-1;-1;-1;-1;4.562;0;-1.71;-1;-1;-1;-1;-1;-1;0;0;-2.3
037_042_00011;85;0;-3.525;80.029;0;-3.525;77.654;0;-5.9;76.654;0;-5.9;74.279;0;-3.525;72.779;0;-3.502;-1;-1;-1;-1;-1;-1;15.279;0;-0.08;15.279;0;-0.08;12.779;0;-2.708;14.779;0;-0.068;-1;-1;-1;-1;-1;-1;13.255;0;-2.68;-1;-1;-1;-1;-1;-1;0;0;-4.2
037_042_00014;60;0;-4.064;55.001;0;-4.064;53.38;0;-5.974;53.38;0;-5.974;52.197;0;-4.26;45.001;0;-3.892;-1;-1;-1;-1;-1;-1;19.501;0;-0.462;18.501;0;-0.36;16.001;0;-0.62;17.001;0;-0.243;-1;-1;-1;-1;-1;-1;14.562;0;-1.71;-1;-1;-1;-1;-1;-1;0;0;-2.3
037_042_00016;95;0;-1.185;86.069;0;-1.923;84.978;0;-3.01;83.978;0;-3.01;81.478;0;-1.346;75.978;0;-0.988;-1;-1;-1;-1;-1;-1;71.478;0;0.461;64.978;0;0.654;62.478;0;0.701;19.478;0;0.403;-1;-1;-1;-1;-1;-1;10.413;0;-2.8;-1;-1;-1;-1;-1;-1;0;0;-2.8
037_042_00018;125.26;0;-3.996;121.26;0;-4.063;120.26;0;-4.426;119.76;0;-4.391;118.76;0;-4.041;104.26;0;-3.722;-1;-1;-1;-1;-1;-1;94.26;0;-0.693;92.26;0;-0.563;89.76;0;-0.416;90.76;0;-0.384;-1;-1;-1;-1;-1;-1;82.26;0;-1.617;-1;-1;-1;-1;-1;-1;0;0;-0.884
037_042_00019;52;0;-2.891;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;23.147;0;-1.122;-1;-1;-1;-1;-1;-1;9.647;0;-0.173;8.647;0;-0.171;6.147;0;-0.3;6.647;0;-0.181;-1;-1;-1;-1;-1;-1;5.628;0;-1.32;-1;-1;-1;-1;-1;-1;0;0;-2.05
037_042_00020;30.011;0;-1.767;22.623;0;-1.778;21.495;0;-2.966;21.495;0;-2.966;20.445;0;-1.8;20.445;0;-1.8;-1;-1;-1;-1;-1;-1;12.388;0;-0.162;11.888;0;-0.08;9.388;0;-0.569;11.388;0;-0.113;-1;-1;-1;-1;-1;-1;8.869;0;-1.32;-1;-1;-1;-1;-1;-1;0;0;-1.32
037_042_00021;150;0;-1.669;145.541;0;-1.669;144.52;0;-2.658;143.52;0;-2.658;142.898;0;-2.03;139.041;0;-1.443;132.541;0;-0.222;89.041;0;-0.326;16.041;0;0.163;7.541;0;-0.015;5.041;0;-0.515;8.041;0;-0.016;5.041;0;-0.515;5.041;0;-0.515;5.041;0;-0.515;-1;-1;-1;-1;-1;-1;0;0;-0.884
037_042_00022;50;0;-3.214;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;25.217;0;-1.67;-1;-1;-1;-1;-1;-1;18.217;0;-0.526;16.217;0;-0.488;13.717;0;-0.407;7.217;0;-0.322;-1;-1;-1;-1;-1;-1;5;0;-1.8;-1;-1;-1;-1;-1;-1;0;0;-1.8
037_042_00023;65;0;-4.368;56.961;0;-4.368;55.961;0;-5.368;54.961;0;-5.368;53.461;0;-4.1;24.461;0;-1.714;-1;-1;-1;-1;-1;-1;22.461;0;-0.683;20.961;0;-0.552;18.461;0;-0.437;15.961;0;-0.238;-1;-1;-1;-1;-1;-1;5.699;0;-4.2;-1;-1;-1;-1;-1;-1;0;0;-4.2
044_042_00002;52.228;0;-2.073;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;25.943;0;-0.843;-1;-1;-1;-1;-1;-1;22.703;0;0.082;22.703;0;0.082;20.203;0;-0.232;21.407;0;0.056;-1;-1;-1;-1;-1;-1;18.432;0;-1.219;-1;-1;-1;-1;-1;-1;0;0;-1.219
044_042_00003;51.47;0;-1.095;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;27.929;0;-1.06;-1;-1;-1;-1;-1;-1;23.513;0;0.276;23.513;0;0.276;21.013;0;0.264;19.728;0;0.197;-1;-1;-1;-1;-1;-1;13.827;0;-2.33;-1;-1;-1;-1;-1;-1;0;0;-2.33
044_042_00004;43;0;-1.769;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;23.007;0;-1.344;-1;-1;-1;-1;-1;-1;19.064;0;-0.111;18.407;0;-0.027;15.907;0;-0.502;17.092;0;-0.063;-1;-1;-1;-1;-1;-1;10.908;0;-2.105;-1;-1;-1;-1;-1;-1;0;0;-2.105
044_042_00014;43;0;-1.769;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;23.007;0;-1.344;-1;-1;-1;-1;-1;-1;19.064;0;-0.111;18.407;0;-0.027;15.907;0;-0.502;17.092;0;-0.063;-1;-1;-1;-1;-1;-1;10.908;0;-2.105;-1;-1;-1;-1;-1;-1;0;0;-2.105
044_042_00015;41;0;-1.3;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;15.486;0;-0.153;-1;-1;-1;-1;-1;-1;14.448;0;0.02;13.938;0;0.034;11.438;0;0.083;8.64;0;0.045;-1;-1;-1;-1;-1;-1;5.279;0;-1.758;-1;-1;-1;-1;-1;-1;0;0;-1.758
044_042_00016;60;0;-0.399;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;36.287;0;-0.502;-1;-1;-1;-1;-1;-1;22.745;0;-0.322;21.616;0;-0.407;19.116;0;-0.705;20.488;0;-0.365;-1;-1;-1;-1;-1;-1;16.087;0;-2.009;-1;-1;-1;-1;-1;-1;0;0;-2.009
