LOCATIONID;X_Maaiveld binnenwaarts;Y_Maaiveld binnenwaarts;Z_Maaiveld binnenwaarts;X_Insteek sloot polderzijde;Y_Insteek sloot polderzijde;Z_Insteek sloot polderzijde;X_Slootbodem polderzijde;Y_Slootbodem polderzijde;Z_Slootbodem polderzijde;X_Slootbodem dijkzijde;Y_Slootbodem dijkzijde;Z_Slootbodem dijkzijde;X_Insteek sloot dijkzijde;Y_Insteek_sloot dijkzijde;Z_Insteek sloot dijkzijde;X_Teen dijk binnenwaarts;Y_Teen dijk binnenwaarts;Z_Teen dijk binnenwaarts;X_Kruin binnenberm;Y_Kruin binnenberm;Z_Kruin binnenberm;X_Insteek binnenberm;Y_Insteek binnenberm;Z_Insteek binnenberm;X_Kruin binnentalud;Y_Kruin binnentalud;Z_Kruin binnentalud;X_Verkeersbelasting kant binnenwaarts;Y_Verkeersbelasting kant binnenwaarts;Z_Verkeersbelasting kant binnenwaarts;X_Verkeersbelasting kant buitenwaarts;Y_Verkeersbelasting kant buitenwaarts;Z_Verkeersbelasting kant buitenwaarts;X_Kruin buitentalud;Y_Kruin buitentalud;Z_Kruin buitentalud;X_Insteek buitenberm;Y_Insteek buitenberm;Z_Insteek buitenberm;X_Kruin buitenberm;Y_Kruin buitenberm;Z_Kruin buitenberm;X_Teen dijk buitenwaarts;Y_Teen dijk buitenwaarts;Z_Teen dijk buitenwaarts;X_Insteek geul;Y_Insteek geul;Z_Insteek geul;X_Teen geul;Y_Teen geul;Z_Teen geul;X_Maaiveld buitenwaarts;Y_Maaiveld buitenwaarts;Z_Maaiveld buitenwaarts;;;;
009_042_00003;41.9;0;-1.23;35.4;0;-1.71;34.088;0;-2.37;32.59;0;-2.37;31.4;0;-1.78;30.9;0;-1.54;30.4;0;-1.26;29.9;0;-1.26;27.9;0;-0.4;26.9;0;-0.28;24.4;0;-0.56;25.4;0;-0.27;-1;-1;-1;-1;-1;-1;16.02;0;-4.2;-1;-1;-1;-1;-1;-1;0;0;-4.2;;;;
009_042_00004;41.9;0;-1.23;36.4;0;-1.5;34.088;0;-2.37;32.59;0;-2.37;30.4;0;-1.26;29.9;0;-1.26;-1;-1;-1;-1;-1;-1;27.4;0;-0.3;26.9;0;-0.28;24.4;0;-0.56;25.4;0;-0.27;-1;-1;-1;-1;-1;-1;16.02;0;-4.2;-1;-1;-1;-1;-1;-1;0;0;-4.2;;;;
009_042_00005;41.9;0;-1.23;35.4;0;-1.71;34.088;0;-2.37;32.59;0;-2.37;30.4;0;-1.26;29.9;0;-1.26;-1;-1;-1;-1;-1;-1;27.4;0;-0.3;26.9;0;-0.28;24.4;0;-0.56;25.4;0;-0.27;-1;-1;-1;-1;-1;-1;16.02;0;-4.2;-1;-1;-1;-1;-1;-1;0;0;-4.2;;;;
009_042_00015;32.5;0;-0.53;29.5;0;-0.64;23.82;0;-2.52;23.724;0;-2.52;21;0;-1.19;20.5;0;-1.19;-1;-1;-1;-1;-1;-1;16;0;-0.17;15.5;0;-0.17;13;0;-0.15;11;0;-0.1;-1;-1;-1;-1;-1;-1;9.451;0;-1.746;-1;-1;-1;-1;-1;-1;0;0;-1.906;;;;
009_042_00016;43.74;0;-1.2;39.74;0;-1.16;35.59;0;-2.5;33.74;0;-2.5;30.24;0;-1.19;29.24;0;-0.9;28.74;0;-0.7;27.24;0;-0.65;25.24;0;-0.42;24.24;0;-0.28;21.74;0;-1.916;23.24;0;-0.37;21.942;0;-1.91;19.913;0;-1.97;13.864;0;-4.2;-1;-1;-1;-1;-1;-1;0;0;-4.37;;;;
009_042_00018;32.5;0;-0.53;29.5;0;-0.64;23.82;0;-2.52;23.724;0;-2.52;21;0;-1.19;20.5;0;-1.19;-1;-1;-1;-1;-1;-1;16;0;-0.17;15;0;-0.1;12.5;0;-0.06;11;0;-0.1;-1;-1;-1;-1;-1;-1;9.451;0;-1.746;-1;-1;-1;-1;-1;-1;0;0;-1.906;;;;
014_042_00008;32.789;0;-0.539;27.5;0;-0.61;25.517;0;-1.87;25.517;0;-1.87;23.673;0;-0.94;23.673;0;-0.94;-1;-1;-1;-1;-1;-1;22.5;0;-0.14;22;0;-0.1;19.5;0;-0.02;16.5;0;-0.05;-1;-1;-1;-1;-1;-1;12.534;0;-1.24;-1;-1;-1;-1;-1;-1;0;0;-1.24;;;;
014_042_00009;32.789;0;-0.539;27.5;0;-0.61;25.517;0;-1.87;25.517;0;-1.87;23.673;0;-0.94;23.673;0;-0.94;-1;-1;-1;-1;-1;-1;22.5;0;-0.14;20.5;0;-0.1;18;0;0.02;17;0;-0.02;-1;-1;-1;-1;-1;-1;12.534;0;-1.24;-1;-1;-1;-1;-1;-1;0;0;-1.24;;;;
014_042_00011;38.157;0;-2.57;26.652;0;-2.57;26.652;0;-2.57;26.652;0;-2.57;24.5;0;-1.3;22.5;0;-0.82;-1;-1;-1;-1;-1;-1;20.5;0;0.15;19.5;0;0.09;17;0;0.11;16;0;0.02;-1;-1;-1;-1;-1;-1;15.422;0;-4.2;-1;-1;-1;-1;-1;-1;0;0;-4.2;;;;
014_042_00022;38.157;0;-2.57;26.652;0;-2.57;26.652;0;-2.57;26.652;0;-2.57;24.5;0;-1.3;22.5;0;-0.82;-1;-1;-1;-1;-1;-1;20.5;0;0.15;20;0;0.12;17.5;0;0.13;16;0;0.02;-1;-1;-1;-1;-1;-1;15.422;0;-4.2;-1;-1;-1;-1;-1;-1;0;0;-4.2;;;;
