LOCATIONID;X_Maaiveld binnenwaarts;Y_Maaiveld binnenwaarts;Z_Maaiveld binnenwaarts;X_Insteek sloot polderzijde;Y_Insteek sloot polderzijde;Z_Insteek sloot polderzijde;X_Slootbodem polderzijde;Y_Slootbodem polderzijde;Z_Slootbodem polderzijde;X_Slootbodem dijkzijde;Y_Slootbodem dijkzijde;Z_Slootbodem dijkzijde;X_Insteek sloot dijkzijde;Y_Insteek_sloot dijkzijde;Z_Insteek sloot dijkzijde;X_Teen dijk binnenwaarts;Y_Teen dijk binnenwaarts;Z_Teen dijk binnenwaarts;X_Kruin binnenberm;Y_Kruin binnenberm;Z_Kruin binnenberm;X_Insteek binnenberm;Y_Insteek binnenberm;Z_Insteek binnenberm;X_Kruin binnentalud;Y_Kruin binnentalud;Z_Kruin binnentalud;X_Verkeersbelasting kant binnenwaarts;Y_Verkeersbelasting kant binnenwaarts;Z_Verkeersbelasting kant binnenwaarts;X_Verkeersbelasting kant buitenwaarts;Y_Verkeersbelasting kant buitenwaarts;Z_Verkeersbelasting kant buitenwaarts;X_Kruin buitentalud;Y_Kruin buitentalud;Z_Kruin buitentalud;X_Insteek buitenberm;Y_Insteek buitenberm;Z_Insteek buitenberm;X_Kruin buitenberm;Y_Kruin buitenberm;Z_Kruin buitenberm;X_Teen dijk buitenwaarts;Y_Teen dijk buitenwaarts;Z_Teen dijk buitenwaarts;X_Insteek geul;Y_Insteek geul;Z_Insteek geul;X_Teen geul;Y_Teen geul;Z_Teen geul;X_Maaiveld buitenwaarts;Y_Maaiveld buitenwaarts;Z_Maaiveld buitenwaarts
093_042_00001;39.456;0;-1.346;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;16.017;0;-1.08;-1;-1;-1;-1;-1;-1;12.303;0;-0.036;11.89;0;0.032;9.39;0;-0.159;10;0;0.04;-1;-1;-1;-1;-1;-1;8.589;0;-1.721;-1;-1;-1;-1;-1;-1;0;0;-1.839
093_042_00005;66.151;0;-2.04;20.881;0;-1.608;18.956;0;-3.15;18.224;0;-3.15;16.732;0;-1.621;16.732;0;-1.621;-1;-1;-1;-1;-1;-1;14.026;0;-0.126;13.303;0;-0.023;10.803;0;0.022;7.402;0;-0.191;-1;-1;-1;-1;-1;-1;7.061;0;-3.122;-1;-1;-1;-1;-1;-1;0;0;-3.121
093_042_00012;85;0;-1.236;66.661;0;-1.147;64.483;0;-1.63;62.305;0;-1.628;60.127;0;-1.233;14.387;0;-0.716;-1;-1;-1;-1;-1;-1;12.209;0;-0.476;10.031;0;-0.025;7.531;0;-0.326;7.531;0;-0.326;-1;-1;-1;-1;-1;-1;7.161;0;-1.839;-1;-1;-1;-1;-1;-1;0;0;-1.839
093_042_00013;20.23;0;-2.6;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;13.9;0;-2.6;-1;-1;-1;-1;-1;-1;11.23;0;-1.01;10.91;0;-1.03;8.41;0;-1.101;8.09;0;-1.13;6.83;0;-1.57;4.27;0;-1.52;4.27;0;-1.52;-1;-1;-1;-1;-1;-1;0;0;-1.73
093_042_00017;73.262;0;-4.63;50.328;0;-4.92;49.3;0;-5.928;48.74;0;-5.927;47.611;0;-4.878;24.836;0;-4.124;-1;-1;-1;-1;-1;-1;13.187;0;-0.826;12.876;0;-0.774;10.376;0;-0.709;10.239;0;-0.709;9.344;0;-1.34;8.061;0;-1.452;6.296;0;-2.617;-1;-1;-1;-1;-1;-1;0;0;-2.617
093_042_00018;73.262;0;-4.63;50.328;0;-4.92;49.3;0;-5.928;48.74;0;-5.927;47.611;0;-4.878;24.836;0;-4.124;-1;-1;-1;-1;-1;-1;12.876;0;-0.774;12.876;0;-0.774;10.376;0;-0.709;10;0;-0.74;9.344;0;-1.34;7.84;0;-1.586;6.296;0;-2.617;-1;-1;-1;-1;-1;-1;0;0;-2.617
093_042_00019;25;0;-3.749;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;18.405;0;-3.74;18.331;0;-1.908;17.334;0;-1.861;12.205;0;-0.648;12.205;0;-0.648;9.705;0;-0.757;10;0;-0.67;7.867;0;-1.457;6.452;0;-1.544;4.887;0;-2.622;-1;-1;-1;-1;-1;-1;0;0;-2.622
093_042_00022;149.459;0;-4.96;70.491;0;-5.26;67.546;0;-6.916;61.191;0;-6.921;57.741;0;-4.923;21.946;0;-3.61;-1;-1;-1;-1;-1;-1;13.956;0;-1.128;13.956;0;-1.128;11.456;0;-1.002;10.363;0;-1.003;-1;-1;-1;-1;-1;-1;7.619;0;-2.746;-1;-1;-1;-1;-1;-1;0;0;-2.746
093_042_00023;57.901;0;-4.488;49.248;0;-4.684;48.701;0;-6.485;47.442;0;-6.528;45.765;0;-4.725;25.606;0;-3.769;-1;-1;-1;-1;-1;-1;14.179;0;-1.399;13.41;0;-1.241;10.91;0;-1.138;10;0;-1.174;-1;-1;-1;-1;-1;-1;7.696;0;-2.5;-1;-1;-1;-1;-1;-1;0;0;-2.552
093_042_00025;57.901;0;-4.488;49.012;0;-4.68;48.701;0;-6.485;47.442;0;-6.528;45.765;0;-4.725;23.058;0;-3.546;-1;-1;-1;-1;-1;-1;14.179;0;-1.399;13.41;0;-1.241;10.91;0;-1.138;10;0;-1.174;-1;-1;-1;-1;-1;-1;7.696;0;-2.5;-1;-1;-1;-1;-1;-1;0;0;-2.552
093_042_00026;79.78;0;-4.463;52.85;0;-4.71;51.563;0;-5.45;49.673;0;-5.45;48.75;0;-4.658;21.92;0;-3.594;-1;-1;-1;-1;-1;-1;14.72;0;-1.388;14.05;0;-1.325;11.55;0;-1.165;10.61;0;-1.101;-1;-1;-1;-1;-1;-1;7.344;0;-2.53;-1;-1;-1;-1;-1;-1;0;0;-2.74
093_042_00028;68.689;0;-4.81;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;29.115;0;-3.851;-1;-1;-1;-1;-1;-1;19.416;0;-0.699;19.416;0;-0.699;16.916;0;-0.538;10;0;-0.716;-1;-1;-1;-1;-1;-1;6.782;0;-2.375;-1;-1;-1;-1;-1;-1;0;0;-2.375
093_042_00029;68.689;0;-4.81;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;27.63;0;-3.718;-1;-1;-1;-1;-1;-1;19.416;0;-0.699;16.944;0;-0.539;14.444;0;-0.508;10;0;-0.716;-1;-1;-1;-1;-1;-1;6.782;0;-2.375;-1;-1;-1;-1;-1;-1;0;0;-2.375
093_042_00030;68.689;0;-4.81;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;27.63;0;-3.718;-1;-1;-1;-1;-1;-1;19.416;0;-0.699;19.416;0;-0.699;16.916;0;-0.538;10.949;0;-0.631;-1;-1;-1;-1;-1;-1;6.782;0;-2.375;-1;-1;-1;-1;-1;-1;0;0;-2.375
093_042_00031;53.983;0;-4.894;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;33.985;0;-4.503;-1;-1;-1;-1;-1;-1;13.858;0;-1.15;13.858;0;-1.15;11.358;0;-1.069;7.192;0;-1.19;-1;-1;-1;-1;-1;-1;5.392;0;-2.39;-1;-1;-1;-1;-1;-1;0;0;-2.39
093_042_00032;68.689;0;-4.81;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;29.115;0;-3.851;-1;-1;-1;-1;-1;-1;19.416;0;-0.699;18.339;0;-0.6;15.839;0;-0.496;8.96;0;-0.956;-1;-1;-1;-1;-1;-1;6.782;0;-2.375;-1;-1;-1;-1;-1;-1;0;0;-2.375
093_042_00034;64.54;0;-4.28;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;62.58;0;-3.92;48.96;0;-2.3;43.39;0;-2.06;26.26;0;-0.95;26.26;0;-0.95;23.76;0;-0.84;17.18;0;-1.11;-1;-1;-1;-1;-1;-1;13.65;0;-2.72;-1;-1;-1;-1;-1;-1;0;0;-2.72
093_042_00040;65;0;-7.629;53.77;0;-5.413;52.918;0;-6.936;43.678;0;-6.938;42.462;0;-5.869;36.268;0;-5.021;27.507;0;-3.179;22.932;0;-2.974;11.465;0;-0.944;11.465;0;-0.944;8.965;0;-1.118;9.211;0;-1.069;-1;-1;-1;-1;-1;-1;5.989;0;-2.75;-1;-1;-1;-1;-1;-1;0;0;-2.75
093_042_00042;94.988;0;-4.581;29.4;0;-4.366;28.251;0;-5.45;26.362;0;-5.45;25.169;0;-4.435;24.519;0;-4.391;-1;-1;-1;-1;-1;-1;18.119;0;-1.937;18.119;0;-1.937;15.619;0;-1.842;15;0;-1.873;-1;-1;-1;-1;-1;-1;14.025;0;-3.45;-1;-1;-1;-1;-1;-1;0;0;-3.45
093_042_00043;42.765;0;-1.579;36.753;0;-2.079;35.605;0;-3.254;25.519;0;-3.254;24.287;0;-1.945;22.315;0;-1.812;-1;-1;-1;-1;-1;-1;18.267;0;-0.386;17.261;0;-0.236;14.761;0;-0.182;14.761;0;-0.182;12.64;0;-0.366;10.669;0;-0.372;9.516;0;-1.8;-1;-1;-1;-1;-1;-1;0;0;-1.8
093_042_00044;50;0;-2.669;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;24.72;0;-2.68;-1;-1;-1;-1;-1;-1;11.858;0;-0.121;11.858;0;-0.121;9.358;0;-0.356;10;0;-0.097;-1;-1;-1;-1;-1;-1;7.534;0;-1.609;-1;-1;-1;-1;-1;-1;0;0;-1.609
093_042_00045;50;0;-2.669;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;24.72;0;-2.68;24.62;0;-1.16;14.653;0;-0.713;11.858;0;-0.121;11.858;0;-0.121;9.358;0;-0.356;10;0;-0.097;-1;-1;-1;-1;-1;-1;7.654;0;-1.529;-1;-1;-1;-1;-1;-1;0;0;-1.609
093_042_00046;42.765;0;-1.579;36.753;0;-2.079;35.605;0;-3.254;25.519;0;-3.254;24.413;0;-2.085;22.315;0;-1.812;-1;-1;-1;-1;-1;-1;18.267;0;-0.386;17.261;0;-0.236;14.761;0;-0.182;13.632;0;-0.276;13.632;0;-0.276;10.669;0;-0.372;9.516;0;-1.8;-1;-1;-1;-1;-1;-1;0;0;-1.8
093_042_00047;42.765;0;-1.579;37.015;0;-2.011;35.605;0;-3.254;25.519;0;-3.254;24.413;0;-2.085;20.889;0;-1.543;-1;-1;-1;-1;-1;-1;17.261;0;-0.236;17.261;0;-0.236;14.761;0;-0.182;14.761;0;-0.182;13.632;0;-0.276;10.433;0;-0.688;9.516;0;-1.8;-1;-1;-1;-1;-1;-1;0;0;-1.8
093_042_00048;66.151;0;-2.04;20.881;0;-1.608;18.956;0;-3.15;18.224;0;-3.15;17.079;0;-1.997;16.732;0;-1.621;-1;-1;-1;-1;-1;-1;14.026;0;-0.126;13.303;0;-0.023;10.803;0;0.022;7.402;0;-0.191;-1;-1;-1;-1;-1;-1;7.061;0;-3.122;-1;-1;-1;-1;-1;-1;0;0;-3.121
093_042_00049;63.35;0;-4.1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;53.27;0;-3.79;-1;-1;-1;-1;-1;-1;42.85;0;-1.25;42.22;0;-1.18;39.72;0;-1.3;30;0;-1.2;26.46;0;-1.75;8.94;0;-1.72;8.12;0;-2.82;-1;-1;-1;-1;-1;-1;0;0;-2.82
093_042_00050;63.35;0;-4.1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;53.45;0;-3.79;-1;-1;-1;-1;-1;-1;42.85;0;-1.25;42.85;0;-1.25;40.35;0;-1.314;30;0;-1.2;26.46;0;-1.75;9.04;0;-1.62;8.12;0;-2.82;-1;-1;-1;-1;-1;-1;0;0;-2.82
093_042_00051;20.23;0;-2.6;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;13.9;0;-2.6;-1;-1;-1;-1;-1;-1;11.23;0;-1.01;11.23;0;-1.01;8.73;0;-1.086;8.21;0;-1.11;-1;-1;-1;-1;-1;-1;6.83;0;-1.57;-1;-1;-1;-1;-1;-1;0;0;-1.73
093_042_00052;35;0;-3.25;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;17.08;0;-3.25;-1;-1;-1;-1;-1;-1;14.31;0;-1.53;14.31;0;-1.53;11.81;0;-1.345;9.077;0;-1.25;-1;-1;-1;-1;-1;-1;6.85;0;-2.6;-1;-1;-1;-1;-1;-1;0;0;-2.6
